Ngày,Tổng số yêu cầu thu thập dữ liệu,Tổng kích thước tải xuống (Byte),Thời gian phản hồi trung bình (ms)
2025-07-12,1538,153670028,411
2025-07-13,1328,143956726,381
2025-07-14,1382,134742980,415
2025-07-15,1447,156567140,402
2025-07-16,1583,134814759,357
2025-07-17,1307,163689068,439
2025-07-18,1635,302770706,444
2025-07-19,1197,96583070,370
2025-07-20,959,93080399,414
2025-07-21,1116,92889695,385
2025-07-22,1219,107860831,399
2025-07-23,1108,104278173,407
2025-07-24,899,152214691,429
2025-07-25,1130,103207420,399
2025-07-26,1069,89494486,411
2025-07-27,1332,131203877,427
2025-07-28,1666,134790927,374
2025-07-29,1066,95536464,480
2025-07-30,1062,100685879,418
2025-07-31,1108,93415345,381
2025-08-01,986,82044043,404
2025-08-02,1312,126038824,480
2025-08-03,1016,84257285,434
2025-08-04,1083,112841158,420
2025-08-05,1122,98549970,460
2025-08-06,1110,88023537,386
2025-08-07,1328,115291845,373
2025-08-08,1087,90766478,418
2025-08-09,1227,149236564,421
2025-08-10,1385,156727577,428
2025-08-11,1032,85186336,451
2025-08-12,1241,114535527,412
2025-08-13,1287,127610508,445
2025-08-14,1155,100502278,448
2025-08-15,1487,155944642,452
2025-08-16,1397,124434835,386
2025-08-17,1215,116505896,394
2025-08-18,1111,96330589,418
2025-08-19,1393,121383760,391
2025-08-20,1422,111917903,380
2025-08-21,1679,155007463,398
2025-08-22,1300,213887084,395
2025-08-23,1111,94281058,408
2025-08-24,1391,109543677,388
2025-08-25,1278,108266224,422
2025-08-26,1377,99108914,363
2025-08-27,1415,134836905,394
2025-08-28,1413,115054093,377
2025-08-29,1495,150314859,397
2025-08-30,1306,134809212,390
2025-08-31,1263,193199277,402
2025-09-01,1289,126236238,506
2025-09-02,1561,128916731,416
2025-09-03,1484,120750184,447
2025-09-04,1407,126191306,422
2025-09-05,1683,168761769,406
2025-09-06,1451,148471287,445
2025-09-07,1154,137279874,428
2025-09-08,1286,117075864,390
2025-09-09,1438,111445981,379
2025-09-10,1445,111297494,370
2025-09-11,1560,302294681,414
2025-09-12,1359,129769636,431
2025-09-13,1492,120240266,430
2025-09-14,1526,126694375,452
2025-09-15,1250,103077784,438
2025-09-16,1441,109254095,402
2025-09-17,1558,114681691,411
2025-09-18,1812,127621083,370
2025-09-19,1411,111026131,429
2025-09-20,1322,125255657,439
2025-09-21,1374,108861681,430
2025-09-22,1394,107326875,430
2025-09-23,1254,107243728,949
2025-09-24,1260,102371452,458
2025-09-25,1419,122394157,452
2025-09-26,1600,152028670,446
2025-09-27,1350,112218001,453
2025-09-28,1281,121008652,460
2025-09-29,1322,112550864,456
2025-09-30,1414,121172505,492
2025-10-01,1496,128798196,425
2025-10-02,1688,115546507,388
2025-10-03,1343,105836579,450
2025-10-04,1383,114382589,423
2025-10-05,1233,108694738,517
2025-10-06,1537,126880593,471
2025-10-07,1383,115340116,510
2025-10-08,1363,107647300,478