Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
0,Backpack emergency car kits store,http://qssa.com/?q=77046523,https://72hours.com/cdn/shop/products/essentialredbackpackcarkitmainimage_800x.jpg,72HRS Essential Backpack Car Kit Red 72Hours,9,46,false,false,false,false,false,false,true,false,2025-09-28,2025-09-28,true,false
0,72 survival backpack store,http://qssa.com/?q=8533323,http://72hours.com/cdn/shop/files/DeluxeRed_1ps_CA_1.jpg,1 Person 72HRS Deluxe Backpack Emergency Survival Kit 72Hours,9,46,false,false,false,false,false,false,true,false,2025-09-11,2025-09-11,true,false
0,"ðŸš€ Boost Organic Traffic, Rankings & Authority with 100% Premium Backlinks â€“ Give Your Competitors a Tough Time! ðŸ”¥ | Rankvance.com",https://rankvanceauthority.pro/get-high-authority-links-today-125/,https://72hours.com/,72hours.com,1000,18,false,false,false,true,false,false,false,false,2025-09-24,2025-10-03,true,false
0,2 person emergency survival kit backpack best sale,https://scissortown.com/?s=2891823,http://72hours.com/cdn/shop/products/1stimage_Essential_2person.jpg,2 person emergency survival kit backpack best sale,10,462,false,false,false,false,false,false,true,false,2025-09-23,2025-09-23,true,false
0,72 HOUR PROFESSIONAL EMERGENCY SURVIVAL KIT â€“ Survival Fanatics,https://survivalfanatics.com/2025/08/12/72-hour-professional-emergency-survival-kit/,https://72hours.com/products/1-person-72hrs-deluxe-backpack-emergency-survival-kit,1 Person 72HRS Deluxe Backpack â€“ Emergency Survival Kit,6,28,false,false,false,true,false,false,false,false,2025-09-18,2025-10-04,true,false
0,Stayglow swiss army knife top,https://topinternetdeal.com/?t=474504321,http://72hours.com/cdn/shop/products/ClassicSD-Ruby.jpg,Stayglow swiss army knife top,10,462,false,false,false,false,false,false,true,false,2025-10-02,2025-10-02,true,false
0,2 person emergency survival kit backpack hot sale,https://www.agriavi.com/?a=2891823,http://72hours.com/cdn/shop/products/1stimage_Essential_2person.jpg,2 Person 72HRS Essential Backpack Emergency Survival Kit Red,9,45,false,false,false,false,false,false,true,false,2025-10-06,2025-10-06,true,false
0,Backpack emergency car kits shop,https://www.kcommunityfoundation.org/?k=77046523,https://72hours.com/cdn/shop/products/essentialredbackpackcarkitmainimage_800x.jpg,Backpack emergency car kits shop,10,462,false,false,false,false,false,false,true,false,2025-09-28,2025-09-28,true,false
0,Outdoor Emergency Food Market Outlook and Strategic Insights,https://www.marketsignalreports.com/reports/outdoor-emergency-food-64728,https://www.72hours.com/,72hours,2,134,true,false,false,true,false,false,false,false,2025-09-24,2025-09-24,true,false
0,Backpack emergency car kits discount,https://www.thetraveloffers.com/?t=77046523,https://72hours.com/cdn/shop/products/DeluxeRedBackpack_900x.jpg,Backpack emergency car kits discount,10,462,false,false,false,false,false,false,true,false,2025-09-21,2025-09-21,true,false
