Keyword,Intents,Volume,Keyword Difficulty,CPC,Competition Density,72hours.com,readywise.com,mypatriotsupply.com,redcross.org,72hours.com (pages),readywise.com (pages),mypatriotsupply.com (pages),redcross.org (pages),Results
emergency food,Commercial,6600,67,1.95,1.00,0,6,4,8,,https://readywise.com/,https://www.mypatriotsupply.com/collections/emergency-survival-food,https://www.redcross.org/content/dam/redcross/atg/PDF_s/Preparedness___Disaster_Recovery/Disaster_Preparedness/Food_Safety/Food_and_Water-English.revised_7-09.pdf,0
emergency essentials,Navigational,3600,71,4.10,1.00,0,19,13,6,,https://readywise.com/,https://www.mypatriotsupply.com/collections/emergency-survival-food,https://www.redcross.org/get-help/how-to-prepare-for-emergencies/survival-kit-supplies.html,0
emergency food supplies,Informational,2900,75,1.84,1.00,0,1,4,12,,https://readywise.com/,https://www.mypatriotsupply.com/collections/emergency-survival-food,https://www.redcross.org/get-help/how-to-prepare-for-emergencies/survival-kit-supplies.html,0
food emergency food,Commercial,1600,69,1.55,1.00,0,1,5,18,,https://readywise.com/,https://www.mypatriotsupply.com/collections/emergency-survival-food,https://www.redcross.org/content/dam/redcross/atg/PDF_s/Preparedness___Disaster_Recovery/Disaster_Preparedness/Food_Safety/Food_and_Water-English.revised_7-09.pdf,0
emergency supplies food,Informational,720,72,1.84,1.00,0,7,9,19,,https://readywise.com/,https://www.mypatriotsupply.com/collections/emergency-survival-food,https://www.redcross.org/get-help/how-to-prepare-for-emergencies/survival-kit-supplies.html,0
emergency food kit,Commercial,590,42,1.29,1.00,0,5,4,19,,https://readywise.com/,https://www.mypatriotsupply.com/collections/emergency-survival-food,https://www.redcross.org/get-help/how-to-prepare-for-emergencies/survival-kit-supplies.html,0
emergency survival bag,"Informational, Transactional",590,51,0.80,1.00,0,2,13,6,,https://readywise.com/collections/survival-backpacks,https://www.mypatriotsupply.com/collections/survival-gear,https://www.redcross.org/get-help/how-to-prepare-for-emergencies/survival-kit-supplies.html,0
food supply for emergency,Commercial,590,73,1.84,1.00,0,6,3,11,,https://readywise.com/,https://www.mypatriotsupply.com/collections/emergency-survival-food,https://www.redcross.org/get-help/how-to-prepare-for-emergencies/survival-kit-supplies.html,0
food survival kits,"Informational, Transactional",590,53,1.47,1.00,0,5,4,10,,https://readywise.com/,https://www.mypatriotsupply.com/collections/emergency-survival-food,https://www.redcross.org/get-help/how-to-prepare-for-emergencies/survival-kit-supplies.html,0
supply emergency,Commercial,590,79,0.93,1.00,0,17,11,2,,https://readywise.com/collections/readywise-emergency,https://www.mypatriotsupply.com/,https://www.redcross.org/get-help/how-to-prepare-for-emergencies/survival-kit-supplies.html,0
survival bags,"Commercial, Informational",590,29,0.69,1.00,0,6,14,10,,https://readywise.com/collections/survival-backpacks,https://www.mypatriotsupply.com/collections/survival-gear,https://www.redcross.org/get-help/how-to-prepare-for-emergencies/survival-kit-supplies.html,0
emergency supply food,Informational,480,72,1.84,1.00,0,5,3,17,,https://readywise.com/,https://www.mypatriotsupply.com/collections/emergency-survival-food,https://www.redcross.org/get-help/how-to-prepare-for-emergencies/survival-kit-supplies.html,0
food emergency kit,Commercial,390,70,1.63,1.00,0,1,9,10,,https://readywise.com/,https://www.mypatriotsupply.com/collections/emergency-survival-food,https://www.redcross.org/get-help/how-to-prepare-for-emergencies/survival-kit-supplies.html,0
emergency food supply kit,"Informational, Transactional",320,63,2.03,1.00,0,6,4,20,,https://readywise.com/,https://www.mypatriotsupply.com/collections/emergency-survival-food,https://www.redcross.org/get-help/how-to-prepare-for-emergencies/survival-kit-supplies.html,0
food supplies for survival,Commercial,320,75,2.39,1.00,0,6,1,10,,https://readywise.com/,https://www.mypatriotsupply.com/collections/emergency-survival-food,https://www.redcross.org/get-help/how-to-prepare-for-emergencies/survival-kit-supplies.html,0
survivalist food supplies,Commercial,320,54,2.39,1.00,0,2,3,19,,https://readywise.com/collections/long-term-food-kits,https://www.mypatriotsupply.com/collections/emergency-survival-food,https://www.redcross.org/get-help/how-to-prepare-for-emergencies/survival-kit-supplies.html,0
emergeny food,Commercial,260,63,1.95,1.00,0,6,4,19,,https://readywise.com/,https://www.mypatriotsupply.com/collections/emergency-survival-food,https://www.redcross.org/content/dam/redcross/atg/PDF_s/Preparedness___Disaster_Recovery/Disaster_Preparedness/Food_Safety/Food_and_Water-English.revised_7-09.pdf,0
emergency kit food,Informational,210,71,1.63,1.00,0,15,6,9,,https://readywise.com/,https://www.mypatriotsupply.com/collections/emergency-survival-food,https://www.redcross.org/get-help/how-to-prepare-for-emergencies/survival-kit-supplies.html,0
preparedness food supply,Commercial,210,67,0.00,1.00,0,1,3,14,,https://readywise.com/collections/long-term-food-kits,https://www.mypatriotsupply.com/collections/emergency-survival-food,https://www.redcross.org/get-help/how-to-prepare-for-emergencies/survival-kit-supplies.html,0
survival kit with food,"Commercial, Informational",210,65,1.47,1.00,0,10,2,14,,https://readywise.com/,https://www.mypatriotsupply.com/collections/emergency-survival-food,https://www.redcross.org/get-help/how-to-prepare-for-emergencies/survival-kit-supplies.html,0
american ready supply,Informational,170,54,2.38,0.90,0,12,8,5,,https://readywise.com/collections/american-survival-guide,https://www.mypatriotsupply.com/collections/emergency-survival-food,https://www.redcross.org/get-help/how-to-prepare-for-emergencies/survival-kit-supplies.html,0
best food survival kits,Commercial,170,43,1.99,1.00,0,11,4,15,,https://readywise.com/,https://www.mypatriotsupply.com/collections/emergency-survival-food,https://www.redcross.org/get-help/how-to-prepare-for-emergencies/survival-kit-supplies.html,0
food for disaster kits,"Commercial, Informational",170,61,1.29,1.00,0,8,3,18,,https://readywise.com/,https://www.mypatriotsupply.com/collections/emergency-survival-food,https://www.redcross.org/get-help/how-to-prepare-for-emergencies/survival-kit-supplies.html,0
good food for survival kit,Informational,170,75,0.81,1.00,0,9,10,12,,https://readywise.com/,https://www.mypatriotsupply.com/collections/emergency-survival-food,https://www.redcross.org/get-help/how-to-prepare-for-emergencies/survival-kit-supplies.html,0
